implementation,mode,n,nz,nodes,mpi_processes,threads,block_size,total_time_med
cpp_threads,regular,1000000,200000000,1,1,16,1024,43.615630
cpp_threads,regular,1000000,200000000,1,1,16,2048,42.803250
cpp_threads,regular,1000000,200000000,1,1,16,4096,43.487563
cpp_threads,regular,1000000,200000000,1,1,32,1024,39.340845
cpp_threads,regular,1000000,200000000,1,1,32,2048,39.816480
cpp_threads,regular,1000000,200000000,1,1,32,4096,40.390707
cpp_threads,irregular,1000000,200000000,1,1,16,1024,42.499930
cpp_threads,irregular,1000000,200000000,1,1,16,2048,42.765557
cpp_threads,irregular,1000000,200000000,1,1,16,4096,43.436508
cpp_threads,irregular,1000000,200000000,1,1,32,1024,39.031712
cpp_threads,irregular,1000000,200000000,1,1,32,2048,39.191516
cpp_threads,irregular,1000000,200000000,1,1,32,4096,40.465285
openmp,regular,1000000,200000000,1,1,16,1024,43.140081
openmp,regular,1000000,200000000,1,1,16,2048,43.176978
openmp,regular,1000000,200000000,1,1,16,4096,43.443341
openmp,regular,1000000,200000000,1,1,32,1024,39.635381
openmp,regular,1000000,200000000,1,1,32,2048,39.985547
openmp,regular,1000000,200000000,1,1,32,4096,40.966085
openmp,irregular,1000000,200000000,1,1,16,1024,42.823181
openmp,irregular,1000000,200000000,1,1,16,2048,43.272311
openmp,irregular,1000000,200000000,1,1,16,4096,44.024773
openmp,irregular,1000000,200000000,1,1,32,1024,39.533097
openmp,irregular,1000000,200000000,1,1,32,2048,40.152275
openmp,irregular,1000000,200000000,1,1,32,4096,40.722793
mpi_openmp,regular,1000000,200000000,8,8,16,1024,16.911059
mpi_openmp,regular,1000000,200000000,8,8,16,2048,14.538396
mpi_openmp,regular,1000000,200000000,8,8,16,4096,14.769439
mpi_openmp,regular,1000000,200000000,8,8,32,1024,19.214924
mpi_openmp,regular,1000000,200000000,8,8,32,2048,16.438969
mpi_openmp,regular,1000000,200000000,8,8,32,4096,14.992804
mpi_openmp,irregular,1000000,200000000,8,8,16,1024,24.419168
mpi_openmp,irregular,1000000,200000000,8,8,16,2048,22.856775
mpi_openmp,irregular,1000000,200000000,8,8,16,4096,30.855900
mpi_openmp,irregular,1000000,200000000,8,8,32,1024,26.878987
mpi_openmp,irregular,1000000,200000000,8,8,32,2048,30.614247
mpi_openmp,irregular,1000000,200000000,8,8,32,4096,39.060595
