mode,n,nz,seed,nodes,mpi_processes,threads_per_process,block_size,run,time,distribution,spmv,normalize,rotate,communication,reduction,epoch
irregular,1000000,200000000,111,8,128,1,2048,1,34.479079,1.987641,11.578125,0.045973,6.665029,14.906138,5.712731,0.000003
irregular,1000000,200000000,111,8,128,1,2048,2,34.496443,1.936391,11.595544,0.046851,6.682114,14.902424,5.873343,0.000004
irregular,1000000,200000000,111,8,128,1,2048,3,34.685977,1.931958,11.779139,0.047194,6.679962,14.913152,6.081204,0.000005
irregular,1000000,200000000,111,8,64,2,2048,1,33.279387,1.930130,13.457194,0.064652,3.373064,15.562646,17.760131,0.000004
irregular,1000000,200000000,111,8,64,2,2048,2,33.335394,1.956077,13.442808,0.064736,3.370611,15.608329,17.888876,0.000004
irregular,1000000,200000000,111,8,64,2,2048,3,33.394958,1.945282,13.443608,0.064895,3.370781,15.584092,17.983991,0.000003
irregular,1000000,200000000,111,8,32,4,2048,1,28.066687,1.948743,8.903619,0.067119,1.691040,17.454753,14.876053,0.000002
irregular,1000000,200000000,111,8,32,4,2048,2,28.033361,1.928576,8.745324,0.067445,1.692345,17.451019,14.792148,0.000002
irregular,1000000,200000000,111,8,32,4,2048,3,27.989478,1.927921,8.625910,0.067397,1.690333,17.436856,14.811585,0.000002
irregular,1000000,200000000,111,8,16,8,2048,1,27.206196,1.927222,6.988300,0.068917,0.880170,19.456835,8.985868,0.000001
irregular,1000000,200000000,111,8,16,8,2048,2,27.265121,1.959040,7.032792,0.068389,0.883075,19.448422,8.992293,0.000002
irregular,1000000,200000000,111,8,16,8,2048,3,27.246481,1.943076,6.992170,0.068364,0.882546,19.469588,8.956119,0.000005
irregular,1000000,200000000,111,8,8,16,2048,1,22.852206,1.980368,9.283921,0.112068,0.504751,11.169390,7.840528,0.000002
irregular,1000000,200000000,111,8,8,16,2048,2,22.981291,1.977158,9.135702,0.108838,0.503654,11.242414,7.971931,0.000002
irregular,1000000,200000000,111,8,8,16,2048,3,22.821434,1.971222,9.511302,0.104540,0.504495,11.168035,8.150025,0.000002
