mode,n,nz,seed,mpi_processes,threads_per_process,block_size,time_med,time_min,time_max,distribution_med,spmv_med,normalize_med,rotate_med,communication_med,reduction_med,epoch_med
regular,1000000,200000000,111,1,2,2048,239.965968,236.730427,240.506951,1.384373,233.371777,0.231230,3.239613,1.233875,0.001660,0.000001
regular,1000000,200000000,111,1,4,2048,129.683377,128.161790,129.738345,1.382385,124.978399,0.130255,1.665000,1.245445,0.001492,0.000001
regular,1000000,200000000,111,2,2,2048,122.272552,121.616268,123.139323,0.982999,115.408587,0.137511,3.232387,1.615142,1.372517,0.000001
regular,1000000,200000000,111,2,4,2048,67.260980,67.228902,67.328213,0.983835,62.706696,0.082373,1.673000,1.637743,0.809775,0.000001
regular,1000000,200000000,111,4,2,2048,86.512768,85.147790,86.644643,0.819140,78.864530,0.089670,3.298609,1.762374,3.941718,0.000001
regular,1000000,200000000,111,4,4,2048,49.721629,49.217906,49.844195,0.818865,44.764417,0.062462,1.682647,1.766768,1.126035,0.000001
irregular,1000000,200000000,111,1,2,2048,236.730786,236.655153,241.657633,1.384568,230.122345,0.249937,3.229101,1.241858,0.001800,0.000001
irregular,1000000,200000000,111,1,4,2048,128.740370,128.732402,131.347598,1.384939,124.017015,0.133105,1.668985,1.257265,0.001576,0.000001
irregular,1000000,200000000,111,2,2,2048,121.394167,120.828922,122.649901,0.982313,115.508548,0.213875,3.229802,2.098588,1.297959,0.000001
irregular,1000000,200000000,111,2,4,2048,68.760699,68.573287,69.236481,0.982953,64.776972,0.144524,1.669978,2.095993,1.328779,0.000001
irregular,1000000,200000000,111,4,2,2048,91.551584,91.147770,91.763130,0.818612,82.165609,0.212718,3.307504,3.219678,6.153266,0.000001
irregular,1000000,200000000,111,4,4,2048,51.556385,51.133827,51.654635,0.820244,45.673840,0.126129,1.682544,3.168702,2.017295,0.000001
