mode,n,nz,seed,mpi_processes,threads_per_process,block_size,run,time,distribution,spmv,normalize,rotate,communication,reduction,epoch
regular,1000000,200000000,111,1,2,2048,1,237.576684,1.383554,231.007586,0.229461,3.227348,1.226637,0.001859,0.000001
regular,1000000,200000000,111,1,2,2048,2,237.047694,1.379155,230.463360,0.231311,3.236978,1.238576,0.001886,0.000001
regular,1000000,200000000,111,1,2,2048,3,237.641831,1.383340,231.047964,0.228849,3.250093,1.232440,0.001848,0.000001
regular,1000000,200000000,111,1,4,2048,1,127.436488,1.384026,122.723126,0.131954,1.671392,1.246724,0.001714,0.000001
regular,1000000,200000000,111,1,4,2048,2,127.432181,1.384463,122.725767,0.131236,1.664129,1.247147,0.001731,0.000001
regular,1000000,200000000,111,1,4,2048,3,127.462242,1.384827,122.746234,0.135362,1.667099,1.248135,0.001699,0.000001
regular,1000000,200000000,111,2,2,2048,1,123.738981,0.981411,117.505250,0.147574,3.231941,1.628247,4.414169,0.000001
regular,1000000,200000000,111,2,2,2048,2,123.790309,0.983000,117.556568,0.146581,3.232600,1.625196,4.552357,0.000001
regular,1000000,200000000,111,2,2,2048,3,121.427651,0.983782,115.132218,0.145009,3.233461,1.624514,1.697351,0.000001
regular,1000000,200000000,111,2,4,2048,1,66.539819,0.984680,62.025657,0.079610,1.672572,1.635866,0.320638,0.000002
regular,1000000,200000000,111,2,4,2048,2,67.250760,0.983241,62.742445,0.081784,1.671646,1.628122,1.000976,0.000002
regular,1000000,200000000,111,2,4,2048,3,66.873771,0.982100,62.360158,0.085914,1.672684,1.634739,0.718393,0.000001
regular,1000000,200000000,111,4,2,2048,1,89.093655,0.820015,80.731776,0.093739,3.304081,1.765432,5.437664,0.000001
regular,1000000,200000000,111,4,2,2048,2,87.665832,0.814449,79.419624,0.089394,3.301610,1.758122,2.965230,0.000001
regular,1000000,200000000,111,4,2,2048,3,88.265185,0.822315,82.099234,0.093818,3.301487,1.775748,5.138024,0.000001
regular,1000000,200000000,111,4,4,2048,1,49.419710,0.819798,44.438131,0.060874,1.683734,1.765066,1.221521,0.000001
regular,1000000,200000000,111,4,4,2048,2,49.399106,0.817865,44.697355,0.061874,1.685552,1.763229,1.248204,0.000002
regular,1000000,200000000,111,4,4,2048,3,49.348339,0.819456,44.556199,0.062795,1.683605,1.762346,1.130948,0.000002
irregular,1000000,200000000,111,1,2,2048,1,236.628235,1.384177,230.021402,0.253448,3.233354,1.242268,0.001889,0.000001
irregular,1000000,200000000,111,1,2,2048,2,236.547946,1.383897,229.943577,0.253632,3.226699,1.244059,0.001880,0.000001
irregular,1000000,200000000,111,1,2,2048,3,237.815697,1.383901,231.202688,0.249930,3.233744,1.242579,0.001923,0.000001
irregular,1000000,200000000,111,1,4,2048,1,129.863663,1.387627,125.137857,0.131184,1.665986,1.260561,0.001786,0.000001
irregular,1000000,200000000,111,1,4,2048,2,128.546699,1.383705,123.821637,0.133501,1.667081,1.259637,0.001884,0.000001
irregular,1000000,200000000,111,1,4,2048,3,128.909427,1.382649,124.197306,0.129648,1.663314,1.253160,0.001889,0.000001
irregular,1000000,200000000,111,2,2,2048,1,120.823562,0.984246,115.037335,0.218891,3.219954,2.099333,0.763395,0.000001
irregular,1000000,200000000,111,2,2,2048,2,123.963478,0.984285,118.191296,0.228388,3.221518,2.090275,3.901924,0.000001
irregular,1000000,200000000,111,2,2,2048,3,120.482151,0.983637,114.608857,0.212660,3.233682,2.093118,0.602849,0.000001
irregular,1000000,200000000,111,2,4,2048,1,68.770720,0.981996,64.783371,0.147074,1.668725,2.096420,1.633978,0.000001
irregular,1000000,200000000,111,2,4,2048,2,68.697900,0.984977,64.708611,0.147952,1.670740,2.093336,1.309740,0.000002
irregular,1000000,200000000,111,2,4,2048,3,68.816332,0.986452,64.550128,0.131919,1.670190,2.096279,0.615043,0.000001
irregular,1000000,200000000,111,4,2,2048,1,92.125827,0.814597,82.397155,0.220386,3.307136,3.238982,5.399914,0.000004
irregular,1000000,200000000,111,4,2,2048,2,89.705401,0.824045,81.224773,0.209601,3.307251,3.220078,3.056152,0.000001
irregular,1000000,200000000,111,4,2,2048,3,90.588012,0.811555,81.721470,0.218511,3.305805,3.222569,6.137771,0.000002
irregular,1000000,200000000,111,4,4,2048,1,51.935529,0.818940,46.140396,0.124054,1.685644,3.155810,2.968986,0.000002
irregular,1000000,200000000,111,4,4,2048,2,52.553690,0.820377,46.761080,0.132510,1.684631,3.155871,3.478714,0.000001
irregular,1000000,200000000,111,4,4,2048,3,50.960425,0.820329,45.002258,0.123471,1.683774,3.174496,1.781138,0.000001
