n,nz,mode,seed,nodes,mpi_processes,threads_per_process,block_size,time_med,distribution_med,spmv_med,normalize_med,rotate_med,communication_med,reduction_med,epoch_med
1000000,200000000,irregular,111,8,8,16,256,32.428676,1.973270,6.532273,0.101046,14.203621,11.259182,3.198733,0.000002
1000000,200000000,irregular,111,8,8,16,512,26.237282,1.969246,6.637123,0.100571,6.772510,11.296252,5.142260,0.000004
1000000,200000000,irregular,111,8,8,16,1024,24.491541,1.985353,8.418713,0.106987,3.026092,11.311750,7.177069,0.000002
1000000,200000000,irregular,111,8,8,16,2048,22.790887,1.971926,9.309175,0.104751,0.505332,11.158527,7.938426,0.000002
1000000,200000000,irregular,111,8,8,16,4096,30.942709,1.980031,17.373899,0.097763,0.484374,11.180809,16.249713,0.000002
1000000,200000000,irregular,111,8,8,32,256,40.963781,1.973092,6.276837,0.153351,23.616855,11.029139,4.501956,0.000004
1000000,200000000,irregular,111,8,8,32,512,31.383809,1.977142,7.376068,0.107167,11.454283,11.142502,5.974242,0.000002
1000000,200000000,irregular,111,8,8,32,1024,26.816876,1.973363,8.608736,0.148317,5.564039,11.037125,7.172257,0.000002
1000000,200000000,irregular,111,8,8,32,2048,30.478867,1.967915,14.726775,0.106100,2.595682,10.923447,14.296510,0.000002
1000000,200000000,irregular,111,8,8,32,4096,38.700317,1.973612,20.319377,0.107974,0.856518,10.991353,24.311226,0.000003
