n,nz,mode,seed,threads,block_size,num_tasks,thread_time_med,openmp_time_med,openmp_vs_threads
1000000,200000000,irregular,111,16,256,3907,43.403088,43.375547,1.000635
1000000,200000000,irregular,111,16,512,1954,42.912472,42.917432,0.999884
1000000,200000000,irregular,111,16,1024,977,42.646889,42.946980,0.993013
1000000,200000000,irregular,111,16,2048,489,42.740269,43.577558,0.980786
1000000,200000000,irregular,111,16,4096,245,43.293722,44.042489,0.982999
1000000,200000000,irregular,111,16,8192,123,44.448691,45.214133,0.983071
1000000,200000000,irregular,111,32,256,3907,39.219417,39.766960,0.986231
1000000,200000000,irregular,111,32,512,1954,39.201336,39.346624,0.996307
1000000,200000000,irregular,111,32,1024,977,38.992933,39.581264,0.985136
1000000,200000000,irregular,111,32,2048,489,39.654130,40.346865,0.982831
1000000,200000000,irregular,111,32,4096,245,40.954705,41.325584,0.991025
1000000,200000000,irregular,111,32,8192,123,58.671787,64.421044,0.910755
