n,nz,mode,seed,threads,block_size,num_chunks,time_med
1000000,200000000,irregular,111,16,256,3907,64.650490
1000000,200000000,irregular,111,16,512,1954,64.505477
1000000,200000000,irregular,111,16,1024,977,64.843493
1000000,200000000,irregular,111,16,2048,489,66.828014
1000000,200000000,irregular,111,16,4096,245,65.843098
1000000,200000000,irregular,111,16,8192,123,67.045840
1000000,200000000,irregular,111,32,256,3907,39.924115
1000000,200000000,irregular,111,32,512,1954,39.139676
1000000,200000000,irregular,111,32,1024,977,39.365336
1000000,200000000,irregular,111,32,2048,489,39.624069
1000000,200000000,irregular,111,32,4096,245,41.102360
1000000,200000000,irregular,111,32,8192,123,59.914141
