n,nz,mode,seed,threads,block_size,num_chunks,task_time_med,worksharing_time_med,worksharing_vs_task
1000000,200000000,irregular,111,16,256,3907,43.375547,43.513515,0.996829
1000000,200000000,irregular,111,16,512,1954,42.917432,42.860196,1.001335
1000000,200000000,irregular,111,16,1024,977,42.946980,42.486223,1.010845
1000000,200000000,irregular,111,16,2048,489,43.577558,42.685493,1.020899
1000000,200000000,irregular,111,16,4096,245,44.042489,43.524260,1.011907
1000000,200000000,irregular,111,16,8192,123,45.214133,44.639481,1.012873
1000000,200000000,irregular,111,32,256,3907,39.766960,39.315876,1.011473
1000000,200000000,irregular,111,32,512,1954,39.346624,38.885570,1.011857
1000000,200000000,irregular,111,32,1024,977,39.581264,38.822771,1.019537
1000000,200000000,irregular,111,32,2048,489,40.346865,39.434586,1.023134
1000000,200000000,irregular,111,32,4096,245,41.325584,40.498972,1.020411
1000000,200000000,irregular,111,32,8192,123,64.421044,64.865790,0.993144
