n,nz,mode,seed,threads,block_size,num_chunks,time_med
1000000,200000000,irregular,111,16,256,3907,43.403088
1000000,200000000,irregular,111,16,512,1954,42.912472
1000000,200000000,irregular,111,16,1024,977,42.646889
1000000,200000000,irregular,111,16,2048,489,42.740269
1000000,200000000,irregular,111,16,4096,245,43.293722
1000000,200000000,irregular,111,16,8192,123,44.448691
1000000,200000000,irregular,111,32,256,3907,39.219417
1000000,200000000,irregular,111,32,512,1954,39.201336
1000000,200000000,irregular,111,32,1024,977,38.992933
1000000,200000000,irregular,111,32,2048,489,39.654130
1000000,200000000,irregular,111,32,4096,245,40.954705
1000000,200000000,irregular,111,32,8192,123,58.671787
